EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-02-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : Minimum temperature in 0.1 &#176;C
30-34 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ORLY, FRANCE (STAID: 11249)
Blended and updated with sources:71641 907149 907156 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TN, Q_TN
 11249, 71641,19210301,  -48,    0
 11249, 71641,19210302,  -47,    0
 11249, 71641,19210303,  -34,    0
 11249, 71641,19210304,  -28,    0
 11249, 71641,19210305,   18,    0
 11249, 71641,19210306,   23,    0
 11249, 71641,19210307,   30,    0
 11249, 71641,19210308,  -36,    0
 11249, 71641,19210309,  -40,    0
 11249, 71641,19210310,  -24,    0
 11249, 71641,19210311,   -3,    0
 11249, 71641,19210312,   16,    0
 11249, 71641,19210313,   22,    0
 11249, 71641,19210314,   38,    0
 11249, 71641,19210315,   38,    0
 11249, 71641,19210316,   -3,    0
 11249, 71641,19210317,    7,    0
 11249, 71641,19210318,   24,    0
 11249, 71641,19210319,  -13,    0
 11249, 71641,19210320,    6,    0
 11249, 71641,19210321,   38,    0
 11249, 71641,19210322,  -24,    0
 11249, 71641,19210323,  -13,    0
 11249, 71641,19210324,   -6,    0
 11249, 71641,19210325,   22,    0
 11249, 71641,19210326,   10,    0
 11249, 71641,19210327,   17,    0
 11249, 71641,19210328,    9,    0
 11249, 71641,19210329,   23,    0
 11249, 71641,19210330,    0,    0
 11249, 71641,19210331,  -10,    0
 11249, 71641,19210401,   20,    0
 11249, 71641,19210402,   35,    0
 11249, 71641,19210403,   50,    0
 11249, 71641,19210404,   98,    0
 11249, 71641,19210405,    9,    0
 11249, 71641,19210406,   47,    0
 11249, 71641,19210407,   54,    0
 11249, 71641,19210408,   28,    0
 11249, 71641,19210409,   28,    0
 11249, 71641,19210410,   36,    0
 11249, 71641,19210411,  124,    0
 11249, 71641,19210412,   43,    0
 11249, 71641,19210413,   73,    0
 11249, 71641,19210414,   51,    0
 11249, 71641,19210415,   -7,    0
 11249, 71641,19210416,  -43,    0
 11249, 71641,19210417,  -30,    0
 11249, 71641,19210418,    2,    0
 11249, 71641,19210419,   13,    0
 11249, 71641,19210420,   -4,    0
 11249, 71641,19210421,    4,    0
 11249, 71641,19210422,    2,    0
 11249, 71641,19210423,   58,    0
 11249, 71641,19210424,   59,    0
 11249, 71641,19210425,   67,    0
 11249, 71641,19210426,   60,    0
 11249, 71641,19210427,  104,    0
 11249, 71641,19210428,   78,    0
 11249, 71641,19210429,   87,    0
 11249, 71641,19210430,   84,    0
 11249, 71641,19210501,   82,    0
 11249, 71641,19210502,   62,    0
 11249, 71641,19210503,   47,    0
 11249, 71641,19210504,    4,    0
 11249, 71641,19210505,   50,    0
 11249, 71641,19210506,    6,    0
 11249, 71641,19210507,   98,    0
 11249, 71641,19210508,  114,    0
 11249, 71641,19210509,   57,    0
 11249, 71641,19210510,   65,    0
 11249, 71641,19210511,   55,    0
 11249, 71641,19210512,  120,    0
 11249, 71641,19210513,  123,    0
 11249, 71641,19210514,   89,    0
 11249, 71641,19210515,  100,    0
 11249, 71641,19210516,  110,    0
 11249, 71641,19210517,  103,    0
 11249, 71641,19210518,  101,    0
 11249, 71641,19210519,   98,    0
 11249, 71641,19210520,  107,    0
 11249, 71641,19210521,  106,    0
 11249, 71641,19210522,  100,    0
